"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","14949","","","","0"
"2020-02","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","17734","","","","0"
"2020-03","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","16166","","","","0"
"2020-04","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","5229","","","","0"
"2020-05","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","15876","","","","0"
"2020-06","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","23235","","","","0"
"2020-07","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","21030","","","","0"
"2020-08","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","22864","","","","0"
"2020-09","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","24261","","","","0"
"2020-10","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","18395","","","","0"
"2020-11","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","15862","","","","0"
"2020-12","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","14286","","","","0"
"2021-01","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","8826","","","","0"
"2021-02","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12026","","","","0"
"2021-03","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","20471","","","","0"
"2021-04","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","18635","","","","0"
"2021-05","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","20508","","","","0"
"2021-06","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","25004","","","","0"
"2021-07","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","20375","","","","0"
"2021-08","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","20323","","","","0"
"2021-09","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","20790","","","","0"
"2021-10","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","14207","","","","0"
"2021-11","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","11750","","","","0"
"2021-12","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","10641","","","","0"
"2022-01","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","9002","","","","0"
